Tin no.,sample ID,Irrigation ,Station ,Date,volume (mL),clean dry mass (g),dirty dry mass (1) (g),dirty dry mass (2) (g),sediment mass (mg),TSS (mg/L),Name,TSS,sediment mass (mg),TSS (mg/L),,TSS error due to scale is,
50,Stock Solution (50 mg/L),,,,30,1.2046,1.2064,,1.8,60,Caz,50,0.2,6.666666667,,±3.33333,mg/L
51,Stock Solution (50 mg/L),,,,30,1.2088,1.2106,,1.8,60,Caz,50,3.33,0.1,,,
52,Stock Solution (50 mg/L),,,,30,1.2147,1.2164,,1.7,56.66666667,Caz,50,10,0.3,,,
53,Stock Solution (50 mg/L),,,,30,1.1917,1.1933,,1.6,53.33333333,Caz,50,,,,,
54,Stock Solution (50 mg/L),,,,30,1.2395,1.2411,,1.6,53.33333333,Caz,50,,,,,
55,Stock Solution (50 mg/L),,,,30,1.2343,1.2361,,1.8,60,Caz,50,,,,,
56,Stock Solution (50 mg/L),,,,30,1.2189,1.2206,,1.7,56.66666667,Caz,50,,,,,
57,Stock Solution (50 mg/L),,,,30,1.2285,1.2301,,1.6,53.33333333,Caz,50,,,,,
58,Stock Solution (50 mg/L),,,,30,1.2313,1.2331,,1.8,60,Caz,50,,,,,
59,Stock Solution (50 mg/L),,,,30,1.2162,1.2178,,1.6,53.33333333,Caz,50,,,,,
60,Stock Solution (50 mg/L),,,,30,1.2297,1.2316,,1.9,63.33333333,Caz,50,,,,,
