Tin no.,sample ID,Irrigation ,Station ,Date,volume (mL),clean dry mass (g),dirty dry mass (1) (g),dirty dry mass (2) (g),sediment mass (mg),TSS (mg/L),Name,TSS,sediment mass (mg),TSS (mg/L),,TSS error due to scale is,
39,Stock Solution (50 mg/L),,,6/6/2022,30,1.2298,1.2318,,2,66.66666667,Mia,50,0.2,6.666666667,,±3.33333,mg/L
40,Stock Solution (50 mg/L),,,6/6/2022,30,1.232,,,#NUM!,,,50,3.33,0.1,,,
41,Stock Solution (50 mg/L),,,6/6/2022,30,1.219,1.2211,,2.1,70,Mia,50,10,0.3,,,
42,Stock Solution (50 mg/L),,,6/6/2022,30,1.2331,,,#NUM!,,,50,,,,,
43,Stock Solution (50 mg/L),,,6/6/2022,30,1.1983,1.2002,,1.9,63.33333333,Mia,50,,,,,
44,Stock Solution (50 mg/L),,,6/6/2022,30,1.2126,1.2142,,1.6,53.33333333,Mia,50,,,,,
45,Stock Solution (50 mg/L),,,6/6/2022,30,1.2191,1.2212,,2.1,70,Mia,50,,,,,
46,Stock Solution (50 mg/L),,,6/6/2022,30,1.2211,1.2226,,1.5,50,Mia,50,,,,,
47,Stock Solution (50 mg/L),,,6/6/2022,30,1.2114,1.2129,,1.5,50,Mia,50,,,,,
48,Stock Solution (50 mg/L),,,6/6/2022,30,1.2099,1.2117,,1.8,60,Mia,50,,,,,
49,Stock Solution (50 mg/L),,,6/6/2022,30,1.2019,1.2037,,1.8,60,Mia,50,,,,,
